what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1312448097754
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448097754
java.version,sysinfo,,,"1.6.0_25",1312448097754
java.vm.info,sysinfo,,,"mixed mode, sharing",1312448097754
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312448097754
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312448097754
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448097754
java.vm.specification.version,sysinfo,,,"1.0",1312448097754
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448097754
java.vm.version,sysinfo,,,"20.0-b11",1312448097754
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1312448097820
error,log,,,"Unable to connect to database",1312448099989
error,log,,,"Unable to connect to database",1312448100123
error,log,,,"Unable to connect to database",1312448100348
error,log,,,"Unable to connect to database",1312448101124
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\bundle-development.ruble"".",1312448101771
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\capistrano.ruble"".",1312448101873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448101928
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\cucumber.ruble"".",1312448101993
error,log,,,"Unable to connect to database",1312448102748
error,log,,,"(LoadError) no such file to load -- ruble/ui",1312448103424
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\haml.ruble"".",1312448103563
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\html.ruble"".",1312448103744
error,log,,,"(LoadError) no such file to load -- ruble/ui",1312448103842
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\css.ruble"".",1312448103984
error,log,,,"(LoadError) no such file to load -- ruble/ui",1312448104203
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\php.ruble"".",1312448104403
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\rspec.ruble"".",1312448104564
